referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close
/football/malta/premier-league/gzira-valletta/,tIhEQotc,Gzira,Valletta,1:1,premier-league,malta,main,2023,2023-11-04,Pinnacle,2.45,2.85,3.21,1.93,3.21,3.44,,,,,2.23,2.87,1.59,1.39,1.95,2.42,1.79,1.56,1.69,2.06,2.06,1.78,1.43,1.66,2.58,2.20,1.40,1.45,2.80,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/balzan-fc-birkirkara/,WnBN3OYq,Balzan,Birkirkara,0:3,premier-league,malta,main,2023,2023-10-29,Pinnacle,3.60,2.56,2.49,2.80,3.03,2.34,,,,,,,,,,,,,2.38,2.91,1.48,1.38,2.03,2.33,1.68,1.60,1.73,1.79,2.04,2.05,1.53,1.54,2.32,2.46,,,,,1.37,1.37,2.74,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/gudja-floriana/,UwPe84QS,Gudja,Floriana,1:1,premier-league,malta,main,2023,2023-10-29,Pinnacle,9.96,5.01,1.30,4.82,3.62,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,2.62,2.01,1.46,1.52,2.09,2.29,1.73,1.50,1.82,2.38,2.00,,,,,,,,,,,,,1.47,1.60,2.57,2.31,1.44,1.39,2.67,2.90,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/sirens-santa-lucia/,nFZj9pBM,Sirens,Santa Lucia,0:0,premier-league,malta,main,2023,2023-10-29,Pinnacle,2.51,2.86,3.09,2.45,3.08,2.62,,,,,2.68,2.70,1.40,1.44,2.40,2.48,1.47,1.53,2.11,2.12,1.63,1.74,1.81,1.71,1.94,2.12,1.56,1.48,2.26,2.56,1.42,1.37,2.56,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/sliema-gzira/,0MFR2rlj,Sliema,Gzira,1:0,premier-league,malta,main,2023,2023-10-29,Pinnacle,2.64,3.26,2.56,2.32,3.35,2.79,,,,,,,,,2.32,2.59,1.59,1.46,2.04,2.27,1.78,1.61,1.72,1.94,2.08,1.88,1.53,1.65,2.41,2.20,1.41,1.49,2.77,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/mosta-fc-marsaxlokk/,YBVnAQeG,Mosta,Marsaxlokk,3:2,premier-league,malta,main,2023,2023-10-28,Pinnacle,3.66,3.29,2.02,2.39,3.14,2.72,,,,,,,,,,,,,2.06,2.62,1.69,1.45,1.75,2.64,2.00,1.46,1.53,2.08,2.34,1.74,1.41,1.81,2.66,2.02,,,,,1.46,1.60,2.59,2.33,1.39,1.38,2.87,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/naxxar-lions-hibernians/,0bXvCnR3,Naxxar,Hibernians,0:0,premier-league,malta,main,2023,2023-10-28,Pinnacle,5.51,4.36,1.51,6.73,4.85,1.38,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.53,1.53,1.49,,,,,2.65,2.28,1.44,1.62,2.36,2.01,1.57,1.82,2.00,1.75,1.81,2.06,1.78,1.59,2.01,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/valletta-hamrun/,vkWrB6tA,Valletta,Hamrun,1:2,premier-league,malta,main,2023,2023-10-28,Pinnacle,4.96,3.40,1.74,4.37,3.39,1.77,,,,,,,,,,,,,,,,,,,,,2.37,2.53,1.52,1.49,2.00,2.10,1.76,1.72,,,,,1.79,1.86,2.03,1.96,1.52,1.59,2.43,2.34,1.39,1.45,2.76,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/gzira-sirens/,KnGsDSBc,Gzira,Sirens,1:0,premier-league,malta,main,2023,2023-10-22,Pinnacle,1.53,3.70,6.87,1.33,4.59,6.92,1.50,1.84,2.34,1.99,1.42,1.64,2.72,2.25,1.51,1.51,2.49,2.49,,,,,,,,,,,,,,,,,1.73,2.08,1.96,1.74,,,,,,,,,,,,,,,,,2.23,2.57,1.56,1.48,1.99,2.31,1.77,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/hibernians-balzan-fc/,tdHwE8di,Hibernians,Balzan,0:2,premier-league,malta,main,2023,2023-10-22,Pinnacle,2.19,2.83,3.83,1.93,3.30,3.39,2.69,2.74,1.38,1.43,2.20,2.51,1.58,1.50,1.95,2.17,1.79,1.68,1.68,1.84,2.04,1.98,1.43,1.48,2.53,2.62,1.33,1.33,3.16,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
