referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/albania/superliga/erzeni-shijak-laci/,0tns7rfD,Erzeni,Laci,0:0,superliga,albania,main,2023,2023-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-vllaznia/,EqzPVRWD,Kukesi,Vllaznia,1:0,superliga,albania,main,2023,2023-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/erzeni-shijak-partizani/,6sgY84P0,Erzeni,Partizani,1:2,superliga,albania,main,2023,2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-kf-egnatia/,KQjMB6ur,KF Tirana,Egnatia,2:3,superliga,albania,main,2023,2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/dinamo-tirana-teuta/,EqEgGnXQ,Dinamo Tirana,Teuta,2:3,superliga,albania,main,2023,2023-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-laci/,SjfU9pAf,Kukesi,Laci,1:0,superliga,albania,main,2023,2023-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-vllaznia/,bHkQAQfl,Skenderbeu,Vllaznia,0:2,superliga,albania,main,2023,2023-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/partizani-kf-tirana/,bsZGqldk,Partizani,KF Tirana,2:1,superliga,albania,main,2023,2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/laci-skenderbeu-korca/,lp72eoe1,Laci,Skenderbeu,2:0,superliga,albania,main,2023,2023-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/partizani-kukesi/,fN7bdRue,Partizani,Kukesi,4:3,superliga,albania,main,2023,2023-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/teuta-erzeni-shijak/,6JAoI82E,Teuta,Erzeni,0:1,superliga,albania,main,2023,2023-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/vllaznia-kf-tirana/,Sz66f5A7,Vllaznia,KF Tirana,0:1,superliga,albania,main,2023,2023-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-dinamo-tirana/,SSBsJlm8,Egnatia,Dinamo Tirana,3:0,superliga,albania,main,2023,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-laci/,dnSN2T2R,KF Tirana,Laci,0:3,superliga,albania,main,2023,2023-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/dinamo-tirana-vllaznia/,SCNJ39mL,Dinamo Tirana,Vllaznia,1:1,superliga,albania,main,2023,2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-erzeni-shijak/,tK3fc7Ql,Kukesi,Erzeni,2:1,superliga,albania,main,2023,2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-teuta/,lMOF4kYE,Egnatia,Teuta,0:1,superliga,albania,main,2023,2023-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-partizani/,beEkbmBr,Skenderbeu,Partizani,1:0,superliga,albania,main,2023,2023-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/laci-dinamo-tirana/,GITLr8Be,Laci,Dinamo Tirana,0:1,superliga,albania,main,2023,2023-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/erzeni-shijak-skenderbeu-korca/,8CG76B32,Erzeni,Skenderbeu,1:2,superliga,albania,main,2023,2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/teuta-kukesi/,6cZA5VI8,Teuta,Kukesi,0:0,superliga,albania,main,2023,2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/vllaznia-kf-egnatia/,f9SPsSQ1,Vllaznia,Egnatia,0:2,superliga,albania,main,2023,2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-laci/,WSIz4Is4,Egnatia,Laci,2:1,superliga,albania,main,2023,2023-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-kukesi/,KjzDpUtq,Skenderbeu,Kukesi,0:1,superliga,albania,main,2023,2023-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/vllaznia-teuta/,hxKW4bSc,Vllaznia,Teuta,2:0,superliga,albania,main,2023,2023-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/dinamo-tirana-partizani/,Ei8u3xcA,Dinamo Tirana,Partizani,1:3,superliga,albania,main,2023,2023-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-erzeni-shijak/,SfCq2dCG,KF Tirana,Erzeni,0:1,superliga,albania,main,2023,2023-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/laci-vllaznia/,QR3G28oU,Laci,Vllaznia,2:1,superliga,albania,main,2023,2023-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/teuta-skenderbeu-korca/,pCKS5vDi,Teuta,Skenderbeu,1:0,superliga,albania,main,2023,2023-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-kf-tirana/,2merbSgo,Kukesi,KF Tirana,1:2,superliga,albania,main,2023,2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
