Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_bookmaker,ah_odds
morocco,botola-2,2023-10-29,Kawkab Marrakech,RAC Casablanca,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-29,Raja Beni Mellal,Stade Marocain,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-04,Stade Marocain,Kawkab Marrakech,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-04,Rapide Oued Zem,Jeunesse Massira,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-04,Meknes,Raja Beni Mellal,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-04,Chabab Atlas Khenifra,Olympique Khouribga,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-05,USM Oujda,Sale,3,0,1.75,2.92,3.88,1.99,2.79,3.61,1.97,2.19,1.30,1.33,1.70,1.85,,,1.50,1.63,,,1.39,1.27,,,1.30,1.40,2.94,2.78,1.69,1.51,,,1.99,1.75,,,2.31,1.98,2.58,2.91,,,2.95,2.42,Pinnacle,
morocco,botola-2,2023-11-05,RAC Casablanca,Dcheira,0,1,2.41,2.59,2.72,2.41,2.65,2.72,1.59,1.59,1.46,1.46,1.42,1.42,1.33,1.33,,,,,1.72,1.69,,,,,2.31,2.31,2.05,2.05,2.65,2.65,2.37,2.37,,,,,1.95,1.92,,,,,Pinnacle,
morocco,botola-2,2023-11-05,Ittifaq Marrakech,Wydad Fes,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-05,Difaa El Jadidi,Chabab Benguerir,2,1,1.82,2.83,3.71,1.93,2.73,3.92,2.05,2.08,,,1.74,1.78,,,1.52,1.56,,,1.34,1.31,,,1.29,1.34,,,1.64,1.56,,,1.93,1.82,,,2.27,2.09,2.77,2.75,,,2.97,2.60,Pinnacle,
morocco,botola-2,2023-11-11,Dcheira,Stade Marocain,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-11,Chabab Benguerir,USM Oujda,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-11,Sale,Ittifaq Marrakech,2,2,2.51,2.75,2.46,2.67,2.63,2.62,1.53,1.53,1.55,1.55,1.38,1.39,1.39,1.40,,,,,1.85,1.82,,,,,2.21,2.11,2.25,2.15,2.56,2.41,2.61,2.46,,,,,1.81,1.78,,,,,Pinnacle,
morocco,botola-2,2023-11-11,Jeunesse Massira,RAC Casablanca,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-12,Wydad Fes,Meknes,0,1,2.45,2.60,2.66,2.45,2.66,2.66,1.57,1.57,1.48,1.48,1.41,1.41,1.34,1.34,,,,,1.76,1.72,,,,,2.26,2.26,2.08,2.08,2.60,2.60,2.40,2.40,,,,,1.92,1.88,,,,,Pinnacle,
morocco,botola-2,2023-11-12,Raja Beni Mellal,Rapide Oued Zem,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-12,Olympique Khouribga,Difaa El Jadidi,1,0,3.11,2.54,2.20,2.83,2.81,2.34,1.45,1.34,1.69,1.74,,,1.50,1.52,,,1.33,1.34,2.02,2.19,,,,,2.01,1.87,2.40,2.62,2.31,2.18,,,2.79,2.60,,,1.65,1.51,,,,,Pinnacle,
morocco,botola-2,2023-11-12,Kawkab Marrakech,Chabab Atlas Khenifra,0,0,1.86,2.92,3.42,1.93,2.89,3.66,2.03,2.01,1.30,1.32,1.75,1.74,,,1.53,1.54,,,1.37,1.36,1.37,1.37,1.49,1.34,2.95,2.83,1.65,1.61,,,1.93,1.86,,,2.24,2.13,2.65,2.55,2.65,2.65,2.33,2.63,Pinnacle,
morocco,botola-2,2023-11-18,USM Oujda,Raja Beni Mellal,1,1,2.00,2.86,3.20,2.11,2.72,3.37,1.87,1.91,1.32,1.31,1.61,1.63,,,1.42,1.44,,,1.47,1.44,,,,,2.83,2.74,1.80,1.76,,,2.10,1.98,,,2.48,2.30,2.39,2.36,,,,,Pinnacle,
morocco,botola-2,2023-11-18,Stade Marocain,RAC Casablanca,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-18,Chabab Benguerir,Sale,1,0,1.92,2.85,3.45,1.92,2.85,3.45,1.96,1.96,,,1.73,1.73,,,1.50,1.50,,,1.37,1.37,,,1.29,1.29,,,1.65,1.65,,,1.95,1.95,,,2.22,2.22,2.52,2.52,,,2.81,2.81,Pinnacle,
morocco,botola-2,2023-11-18,Chabab Atlas Khenifra,Jeunesse Massira,1,0,2.36,2.55,2.90,2.14,2.60,3.49,1.86,1.67,1.31,1.40,1.59,1.44,,,1.40,1.29,,,1.45,1.61,,,1.28,1.28,2.91,2.43,1.81,2.04,,,2.12,2.34,,,2.54,2.83,2.43,2.01,,,3.05,3.05,Pinnacle,
morocco,botola-2,2023-11-19,Rapide Oued Zem,Olympique Khouribga,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-19,Meknes,Kawkab Marrakech,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-19,Ittifaq Marrakech,Dcheira,1,1,2.48,2.47,2.77,2.48,2.53,2.77,1.56,1.56,1.45,1.45,1.40,1.40,1.32,1.32,,,,,1.73,1.70,,,,,2.34,2.34,2.09,2.09,2.71,2.71,2.43,2.43,,,,,1.95,1.92,,,,,Pinnacle,
morocco,botola-2,2023-11-19,Difaa El Jadidi,Wydad Fes,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-25,Jeunesse Massira,Stade Marocain,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
