Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_bookmaker,ah_odds
albania,superliga,2023-11-24,Vllaznia,Laci,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-11-24,Skenderbeu,Teuta,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-11-27,Partizani,Dinamo Tirana,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-11-27,Erzeni,KF Tirana,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-11-28,Teuta,Vllaznia,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-11-28,Laci,Egnatia,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-11-28,Kukesi,Skenderbeu,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-02,Skenderbeu,Erzeni,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-02,Egnatia,Vllaznia,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-03,Kukesi,Teuta,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-03,KF Tirana,Partizani,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-03,Dinamo Tirana,Laci,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-07,Partizani,Teuta,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-10,Erzeni,Kukesi,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-10,Vllaznia,Dinamo Tirana,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-10,Laci,KF Tirana,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-11,Teuta,Egnatia,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-11,Partizani,Skenderbeu,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-16,Kukesi,Partizani,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-16,Dinamo Tirana,Egnatia,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-17,Skenderbeu,Laci,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-17,KF Tirana,Vllaznia,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
albania,superliga,2023-12-17,Erzeni,Teuta,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
