Country,League,Year,Date,Home,Away,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,FTR
montenegro,prva-crnogorska-liga,2023.0,2023-09-16,Mornar Bar,Buducnost,Pinnacle,3.57,3.08,1.96,5.70,3.72,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,2.54,1.68,1.47,1.77,2.33,1.98,1.57,1.55,2.06,2.26,1.75,1.35,1.78,2.81,2.06,1.52,1.57,2.47,2.39,1.45,1.44,2.66,2.69,,,,,0:0
montenegro,prva-crnogorska-liga,2023.0,2023-09-16,Mladost DG,Arsenal Tivat,Pinnacle,2.08,2.91,3.43,3.02,2.95,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.94,1.66,1.38,1.80,2.54,1.95,1.51,1.47,2.11,2.46,1.74,1.33,1.72,2.89,2.10,1.40,1.52,2.79,2.44,1.37,1.37,2.96,2.96,,,,,,,,,,,,,,,,,2:1
montenegro,prva-crnogorska-liga,2023.0,2023-09-16,Petrovac,Jedinstvo,Pinnacle,1.79,3.25,4.02,1.80,3.41,4.50,,,,,,,,,,,,,,,,,,,,,,,,,2.71,2.67,1.43,1.45,2.42,2.45,1.47,1.52,2.01,2.03,1.70,1.78,1.80,1.80,1.94,2.03,1.55,1.56,2.27,2.42,1.31,1.31,2.99,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:1
montenegro,prva-crnogorska-liga,2023.0,2023-09-17,Decic,Sutjeska,Pinnacle,2.70,3.01,2.49,2.49,2.90,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.98,1.43,1.37,2.64,2.46,1.41,1.54,2.31,2.11,1.55,1.75,1.95,1.71,1.79,2.13,1.65,1.48,2.13,2.56,,,,,,,,,,,,,,,,,,,,,,,,,0:4
montenegro,prva-crnogorska-liga,2023.0,2023-09-23,Buducnost,Petrovac,Pinnacle,1.46,3.92,5.67,1.53,3.87,6.20,,,,,,,,,,,,,,,,,,,,,2.24,2.39,1.54,1.54,2.01,2.14,1.70,1.69,1.77,1.88,1.98,1.94,1.56,1.65,2.23,2.21,1.44,1.52,2.48,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:1
montenegro,prva-crnogorska-liga,2023.0,2023-09-23,Sutjeska,Rudar,Pinnacle,1.34,4.52,7.27,1.44,4.67,6.14,,,,,,,,,2.53,2.49,1.46,1.46,2.72,2.57,1.43,1.48,2.24,2.40,1.56,1.54,1.97,2.11,1.75,1.72,1.76,1.90,1.99,1.92,1.52,1.66,2.37,2.21,1.40,1.51,2.68,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:0
montenegro,prva-crnogorska-liga,2023.0,2023-09-23,Jezero,Mornar Bar,Pinnacle,2.21,2.78,3.32,2.45,2.75,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,2.95,1.41,1.38,2.19,2.43,1.59,1.55,1.89,2.06,1.85,1.78,1.52,1.64,2.33,2.24,1.36,1.43,2.78,2.73,,,,,,,,,,,,,,,,,,,,,,,,,0:1
montenegro,prva-crnogorska-liga,2023.0,2023-09-23,Jedinstvo,Mladost DG,Pinnacle,2.25,2.94,3.02,2.34,3.01,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.74,1.40,1.42,2.23,2.31,1.56,1.59,1.95,2.00,1.79,1.83,1.60,1.63,2.17,2.23,1.42,1.44,2.56,2.66,,,,,,,,,,,,,,,,,,,,,,,,,2:1
montenegro,prva-crnogorska-liga,2023.0,2023-09-23,Arsenal Tivat,Decic,Pinnacle,3.05,2.82,2.32,3.73,2.92,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,3.09,1.42,1.35,2.14,2.59,1.61,1.49,1.76,1.99,2.00,1.84,1.53,1.69,2.30,2.15,1.37,1.49,2.74,2.54,,,,,,,,,,,,,,,,,0:1
montenegro,prva-crnogorska-liga,2023.0,2023-09-27,Sutjeska,Jezero,Pinnacle,1.46,3.81,5.94,1.54,3.92,6.00,,,,,,,,,,,,,,,,,,,,,2.28,2.48,1.52,1.51,2.04,2.21,1.68,1.66,1.79,1.92,1.96,1.90,1.57,1.67,2.23,2.19,1.44,1.52,2.49,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:1
montenegro,prva-crnogorska-liga,2023.0,2023-09-27,Arsenal Tivat,Rudar,Pinnacle,1.98,2.96,3.68,2.01,3.18,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90,2.93,1.33,1.38,2.29,2.32,1.54,1.60,2.00,2.01,1.76,1.82,1.68,1.71,2.03,2.11,1.40,1.43,2.64,2.75,1.37,1.35,2.95,3.07,,,,,,,,,,,,,,,,,,,,,,,,,2:0
montenegro,prva-crnogorska-liga,2023.0,2023-09-27,Mornar Bar,Petrovac,Pinnacle,2.40,2.81,2.93,2.66,2.56,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.59,1.50,1.47,2.07,2.17,1.71,1.68,1.67,1.72,2.05,2.14,1.45,1.46,2.46,2.69,1.34,1.33,3.08,3.19,,,,,,,,,,,,,,,,,,,,,0:0
