Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close
algeria,ligue-1,2023-10-06,Biskra,Paradou,0,5,,,,,,,,,,,,,,,,,,,,,3.02,3.09,1.37,1.36,2.56,2.38,1.45,1.6,2.16,2.03,1.65,1.83,1.85,1.7,1.93,2.17,1.5,1.39,2.48,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-06,Constantine,Saoura,3,0,,,,,,,,,,,,,,,,,2.75,2.78,1.39,1.43,2.42,2.41,1.51,1.58,2.03,1.98,1.8,1.87,1.75,1.73,1.99,2.13,1.5,1.48,2.4,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-06,MC Alger,ES Setif,5,3,,,,,,,,,,,,,2.62,2.64,1.43,1.48,2.31,2.31,1.57,1.63,2.01,1.95,1.84,1.9,1.68,1.66,2.12,2.24,1.51,1.5,2.41,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-06,Oran,Magra,0,0,,,,,,,,,,,,,,,,,2.75,2.65,1.43,1.43,2.96,2.27,1.33,1.59,2.31,1.9,1.55,1.95,2.0,1.63,1.78,2.19,1.68,1.4,2.08,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-07,Kabylie,USM Alger,1,0,,,,,,,,,,,,,,,,,,,,,2.09,2.77,1.67,1.44,1.79,2.21,1.99,1.68,1.59,1.92,2.23,1.93,1.37,1.63,2.78,2.31,1.3,1.34,3.41,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-07,Ben Aknoun,US Souf,0,1,,,,,,,,,,,,,,,,,,,,,1.59,2.57,2.2,1.49,1.44,2.09,2.51,1.74,1.44,1.85,2.51,2.01,1.62,1.57,2.26,2.4,1.34,1.31,3.09,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-07,El Bayadh,ASO Chlef,1,0,,,,,,,,,,,,,,,,,,,,,2.47,2.95,1.51,1.39,2.02,2.32,1.76,1.62,1.8,2.01,2.05,1.85,1.53,1.7,2.45,2.18,1.28,1.39,3.47,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-07,CR Belouizdad,Khenchela,2,3,,,,,,,,,2.69,2.87,1.45,1.41,2.38,2.4,1.56,1.58,2.1,2.08,1.74,1.79,1.79,1.71,2.06,2.16,1.57,1.5,2.4,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-10-13,US Souf,CR Belouizdad,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,3.32,1.44,1.32,2.05,2.34,1.75,1.61,1.78,1.94,2.08,1.91,1.55,1.68,2.4,2.2,1.34,1.43,3.08,2.79,,,,,,,,,,,,
algeria,ligue-1,2023-10-14,USM Alger,Khenchela,3,0,,,,,,,,,,,,,,,,,,,,,2.9,3.09,1.36,1.36,2.28,2.39,1.58,1.59,1.97,2.04,1.81,1.83,1.67,1.71,2.12,2.16,1.37,1.39,2.85,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
